"health_officer_region","county","mmwr_year","mmwr_week","start_date","end_date","mnth_lbl","total_ca_pop","total_cnty_pop","cumulative_infected","cumulative_severe","new_infections","new_severe","cum_rate_100k","inf_rate_100k","sev_rate_100k"
"Bay Area","Marin",2023,46,2023-11-12,2023-11-18,"Nov",39109070,254744,390,0,239,42,153.1,93.8,16.5
"Bay Area","Marin",2023,47,2023-11-19,2023-11-25,"Nov",39109070,254744,391,0,26,25,153.5,10.2,9.8
"Bay Area","Marin",2023,48,2023-11-26,2023-12-02,"Nov",39109070,254744,391,0,38,15,153.5,14.9,5.9
"Bay Area","Marin",2023,49,2023-12-03,2023-12-09,"Dec",39109070,254744,391,0,0,2,153.5,0,0.8
"Bay Area","Marin",2023,50,2023-12-10,2023-12-16,"Dec",39109070,254744,392,0,43,2,153.9,16.9,0.8
"Bay Area","Marin",2023,51,2023-12-17,2023-12-23,"Dec",39109070,254744,392,0,0,0,153.9,0,0
"Bay Area","Marin",2023,52,2023-12-24,2023-12-30,"Dec",39109070,254744,392,0,0,2,153.9,0,0.8
"Bay Area","Monterey",2023,22,2023-05-28,2023-06-03,"May",39109070,436476,2,0,124,0,0.5,28.4,0
"Bay Area","Monterey",2023,23,2023-06-04,2023-06-10,"Jun",39109070,436476,3,0,134,0,0.7,30.7,0
"Bay Area","Monterey",2023,24,2023-06-11,2023-06-17,"Jun",39109070,436476,4,0,98,3,0.9,22.5,0.7
"Bay Area","Monterey",2023,25,2023-06-18,2023-06-24,"Jun",39109070,436476,6,0,319,4,1.4,73.1,0.9
"Bay Area","Monterey",2023,26,2023-06-25,2023-07-01,"Jun",39109070,436476,9,0,572,0,2.1,131,0
"Bay Area","Monterey",2023,27,2023-07-02,2023-07-08,"Jul",39109070,436476,14,0,644,7,3.2,147.5,1.6
"Bay Area","Monterey",2023,28,2023-07-09,2023-07-15,"Jul",39109070,436476,16,0,840,11,3.7,192.5,2.5
"Bay Area","Monterey",2023,29,2023-07-16,2023-07-22,"Jul",39109070,436476,18,0,648,20,4.1,148.5,4.6
"Bay Area","Monterey",2023,30,2023-07-23,2023-07-29,"Jul",39109070,436476,27,0,734,24,6.2,168.2,5.5
"Bay Area","Monterey",2023,31,2023-07-30,2023-08-05,"Jul",39109070,436476,33,0,1179,15,7.6,270.1,3.4
"Bay Area","Monterey",2023,32,2023-08-06,2023-08-12,"Aug",39109070,436476,39,0,1248,18,8.9,285.9,4.1
"Bay Area","Monterey",2023,33,2023-08-13,2023-08-19,"Aug",39109070,436476,51,0,1617,40,11.7,370.5,9.2
"Bay Area","Monterey",2023,34,2023-08-20,2023-08-26,"Aug",39109070,436476,69,0,2485,36,15.8,569.3,8.2
"Bay Area","Monterey",2023,35,2023-08-27,2023-09-02,"Aug",39109070,436476,101,0,3637,35,23.1,833.3,8
"Bay Area","Monterey",2023,36,2023-09-03,2023-09-09,"Sep",39109070,436476,126,0,3676,73,28.9,842.2,16.7
"Bay Area","Monterey",2023,37,2023-09-10,2023-09-16,"Sep",39109070,436476,158,0,3347,89,36.2,766.8,20.4
"Bay Area","Monterey",2023,38,2023-09-17,2023-09-23,"Sep",39109070,436476,187,0,3941,125,42.8,902.9,28.6
"Bay Area","Monterey",2023,39,2023-09-24,2023-09-30,"Sep",39109070,436476,213,0,3169,106,48.8,726,24.3
"Bay Area","Monterey",2023,40,2023-10-01,2023-10-07,"Oct",39109070,436476,244,0,3124,115,55.9,715.7,26.3
"Bay Area","Monterey",2023,41,2023-10-08,2023-10-14,"Oct",39109070,436476,273,0,3187,95,62.5,730.2,21.8
"Bay Area","Monterey",2023,42,2023-10-15,2023-10-21,"Oct",39109070,436476,294,0,3115,101,67.4,713.7,23.1
"Bay Area","Monterey",2023,43,2023-10-22,2023-10-28,"Oct",39109070,436476,317,0,2649,89,72.6,606.9,20.4
"Bay Area","Monterey",2023,44,2023-10-29,2023-11-04,"Oct",39109070,436476,332,0,1757,92,76.1,402.5,21.1
"Bay Area","Monterey",2023,45,2023-11-05,2023-11-11,"Nov",39109070,436476,341,0,1284,73,78.1,294.2,16.7
"Bay Area","Monterey",2023,46,2023-11-12,2023-11-18,"Nov",39109070,436476,342,0,426,65,78.4,97.6,14.9
"Bay Area","Monterey",2023,47,2023-11-19,2023-11-25,"Nov",39109070,436476,342,0,50,45,78.4,11.5,10.3
"Bay Area","Monterey",2023,48,2023-11-26,2023-12-02,"Nov",39109070,436476,342,0,67,16,78.4,15.4,3.7
"Bay Area","Monterey",2023,49,2023-12-03,2023-12-09,"Dec",39109070,436476,342,0,0,6,78.4,0,1.4
"Bay Area","Monterey",2023,50,2023-12-10,2023-12-16,"Dec",39109070,436476,342,0,65,3,78.4,14.9,0.7
"Bay Area","Monterey",2023,51,2023-12-17,2023-12-23,"Dec",39109070,436476,342,0,0,1,78.4,0,0.2
"Bay Area","Monterey",2023,52,2023-12-24,2023-12-30,"Dec",39109070,436476,342,0,0,0,78.4,0,0
"Bay Area","Napa",2023,22,2023-05-28,2023-06-03,"May",39109070,134484,0,0,29,0,0,21.6,0
"Bay Area","Napa",2023,23,2023-06-04,2023-06-10,"Jun",39109070,134484,0,0,45,0,0,33.5,0
"Bay Area","Napa",2023,24,2023-06-11,2023-06-17,"Jun",39109070,134484,2,0,37,0,1.5,27.5,0
"Bay Area","Napa",2023,25,2023-06-18,2023-06-24,"Jun",39109070,134484,3,0,98,0,2.2,72.9,0
"Bay Area","Napa",2023,26,2023-06-25,2023-07-01,"Jun",39109070,134484,7,0,144,2,5.2,107.1,1.5
"Bay Area","Napa",2023,27,2023-07-02,2023-07-08,"Jul",39109070,134484,10,0,180,2,7.4,133.8,1.5
"Bay Area","Napa",2023,28,2023-07-09,2023-07-15,"Jul",39109070,134484,14,0,245,2,10.4,182.2,1.5
"Bay Area","Napa",2023,29,2023-07-16,2023-07-22,"Jul",39109070,134484,17,0,191,6,12.6,142,4.5
"Bay Area","Napa",2023,30,2023-07-23,2023-07-29,"Jul",39109070,134484,20,0,206,10,14.9,153.2,7.4
"Bay Area","Napa",2023,31,2023-07-30,2023-08-05,"Jul",39109070,134484,24,0,369,4,17.8,274.4,3
"Bay Area","Napa",2023,32,2023-08-06,2023-08-12,"Aug",39109070,134484,29,0,399,4,21.6,296.7,3
"Bay Area","Napa",2023,33,2023-08-13,2023-08-19,"Aug",39109070,134484,35,0,465,8,26,345.8,5.9
"Bay Area","Napa",2023,34,2023-08-20,2023-08-26,"Aug",39109070,134484,40,0,646,14,29.7,480.4,10.4
"Bay Area","Napa",2023,35,2023-08-27,2023-09-02,"Aug",39109070,134484,45,0,1030,13,33.5,765.9,9.7
"Bay Area","Napa",2023,36,2023-09-03,2023-09-09,"Sep",39109070,134484,54,0,1005,22,40.2,747.3,16.4
"Bay Area","Napa",2023,37,2023-09-10,2023-09-16,"Sep",39109070,134484,70,0,1024,21,52.1,761.4,15.6
"Bay Area","Napa",2023,38,2023-09-17,2023-09-23,"Sep",39109070,134484,87,0,1062,27,64.7,789.7,20.1
"Bay Area","Napa",2023,39,2023-09-24,2023-09-30,"Sep",39109070,134484,99,0,975,42,73.6,725,31.2
"Bay Area","Napa",2023,40,2023-10-01,2023-10-07,"Oct",39109070,134484,106,0,931,35,78.8,692.3,26
"Bay Area","Napa",2023,41,2023-10-08,2023-10-14,"Oct",39109070,134484,119,0,902,35,88.5,670.7,26
"Bay Area","Napa",2023,42,2023-10-15,2023-10-21,"Oct",39109070,134484,133,0,892,25,98.9,663.3,18.6
"Bay Area","Napa",2023,43,2023-10-22,2023-10-28,"Oct",39109070,134484,139,0,759,37,103.4,564.4,27.5
"Bay Area","Napa",2023,44,2023-10-29,2023-11-04,"Oct",39109070,134484,147,0,469,34,109.3,348.7,25.3
"Bay Area","Napa",2023,45,2023-11-05,2023-11-11,"Nov",39109070,134484,148,0,388,22,110.1,288.5,16.4
"Bay Area","Napa",2023,46,2023-11-12,2023-11-18,"Nov",39109070,134484,149,0,119,18,110.8,88.5,13.4
"Bay Area","Napa",2023,47,2023-11-19,2023-11-25,"Nov",39109070,134484,149,0,11,10,110.8,8.2,7.4
"Bay Area","Napa",2023,48,2023-11-26,2023-12-02,"Nov",39109070,134484,149,0,24,4,110.8,17.8,3
"Bay Area","Napa",2023,49,2023-12-03,2023-12-09,"Dec",39109070,134484,149,0,0,3,110.8,0,2.2
"Bay Area","Napa",2023,50,2023-12-10,2023-12-16,"Dec",39109070,134484,149,0,28,1,110.8,20.8,0.7
"Bay Area","Napa",2023,51,2023-12-17,2023-12-23,"Dec",39109070,134484,149,0,0,0,110.8,0,0
"Bay Area","Napa",2023,52,2023-12-24,2023-12-30,"Dec",39109070,134484,149,0,0,1,110.8,0,0.7
"Bay Area","San Benito",2023,22,2023-05-28,2023-06-03,"May",39109070,65082,0,0,14,0,0,21.5,0
"Bay Area","San Benito",2023,23,2023-06-04,2023-06-10,"Jun",39109070,65082,0,0,15,0,0,23,0
"Bay Area","San Benito",2023,24,2023-06-11,2023-06-17,"Jun",39109070,65082,0,0,20,0,0,30.7,0
"Bay Area","San Benito",2023,25,2023-06-18,2023-06-24,"Jun",39109070,65082,1,0,35,0,1.5,53.8,0
"Bay Area","San Benito",2023,26,2023-06-25,2023-07-01,"Jun",39109070,65082,1,0,46,0,1.5,70.7,0
"Bay Area","San Benito",2023,27,2023-07-02,2023-07-08,"Jul",39109070,65082,3,0,81,1,4.6,124.5,1.5
"Bay Area","San Benito",2023,28,2023-07-09,2023-07-15,"Jul",39109070,65082,3,0,94,2,4.6,144.4,3.1
"Bay Area","San Benito",2023,29,2023-07-16,2023-07-22,"Jul",39109070,65082,5,0,82,4,7.7,126,6.1
"Bay Area","San Benito",2023,30,2023-07-23,2023-07-29,"Jul",39109070,65082,6,0,91,3,9.2,139.8,4.6
"Bay Area","San Benito",2023,31,2023-07-30,2023-08-05,"Jul",39109070,65082,8,0,153,5,12.3,235.1,7.7
"Bay Area","San Benito",2023,32,2023-08-06,2023-08-12,"Aug",39109070,65082,9,0,158,2,13.8,242.8,3.1
"Bay Area","San Benito",2023,33,2023-08-13,2023-08-19,"Aug",39109070,65082,14,0,198,2,21.5,304.2,3.1
"Bay Area","San Benito",2023,34,2023-08-20,2023-08-26,"Aug",39109070,65082,17,0,287,4,26.1,441,6.1
"Bay Area","San Benito",2023,35,2023-08-27,2023-09-02,"Aug",39109070,65082,20,0,432,7,30.7,663.8,10.8
"Bay Area","San Benito",2023,36,2023-09-03,2023-09-09,"Sep",39109070,65082,21,0,385,7,32.3,591.6,10.8
"Bay Area","San Benito",2023,37,2023-09-10,2023-09-16,"Sep",39109070,65082,27,0,410,13,41.5,630,20
"Bay Area","San Benito",2023,38,2023-09-17,2023-09-23,"Sep",39109070,65082,31,0,463,13,47.6,711.4,20
"Bay Area","San Benito",2023,39,2023-09-24,2023-09-30,"Sep",39109070,65082,35,0,420,11,53.8,645.3,16.9
"Bay Area","San Benito",2023,40,2023-10-01,2023-10-07,"Oct",39109070,65082,39,0,389,10,59.9,597.7,15.4
"Bay Area","San Benito",2023,41,2023-10-08,2023-10-14,"Oct",39109070,65082,49,0,375,12,75.3,576.2,18.4
"Bay Area","San Benito",2023,42,2023-10-15,2023-10-21,"Oct",39109070,65082,52,0,372,13,79.9,571.6,20
"Bay Area","San Benito",2023,43,2023-10-22,2023-10-28,"Oct",39109070,65082,56,0,326,8,86,500.9,12.3
"Bay Area","San Benito",2023,44,2023-10-29,2023-11-04,"Oct",39109070,65082,57,0,225,16,87.6,345.7,24.6
"Bay Area","San Benito",2023,45,2023-11-05,2023-11-11,"Nov",39109070,65082,60,0,146,12,92.2,224.3,18.4
"Bay Area","San Benito",2023,46,2023-11-12,2023-11-18,"Nov",39109070,65082,60,0,55,6,92.2,84.5,9.2
"Bay Area","San Benito",2023,47,2023-11-19,2023-11-25,"Nov",39109070,65082,60,0,8,5,92.2,12.3,7.7
"Bay Area","San Benito",2023,48,2023-11-26,2023-12-02,"Nov",39109070,65082,60,0,5,2,92.2,7.7,3.1
"Bay Area","San Benito",2023,49,2023-12-03,2023-12-09,"Dec",39109070,65082,60,0,0,0,92.2,0,0
"Bay Area","San Benito",2023,50,2023-12-10,2023-12-16,"Dec",39109070,65082,60,0,6,1,92.2,9.2,1.5
"Bay Area","San Benito",2023,51,2023-12-17,2023-12-23,"Dec",39109070,65082,60,0,0,1,92.2,0,1.5
"Bay Area","San Benito",2023,52,2023-12-24,2023-12-30,"Dec",39109070,65082,60,0,0,0,92.2,0,0
"Bay Area","San Francisco",2023,22,2023-05-28,2023-06-03,"May",39109070,848019,3,0,279,0,0.4,32.9,0
"Bay Area","San Francisco",2023,23,2023-06-04,2023-06-10,"Jun",39109070,848019,6,0,240,0,0.7,28.3,0
"Bay Area","San Francisco",2023,24,2023-06-11,2023-06-17,"Jun",39109070,848019,6,0,210,12,0.7,24.8,1.4
"Bay Area","San Francisco",2023,25,2023-06-18,2023-06-24,"Jun",39109070,848019,14,0,683,6,1.7,80.5,0.7
"Bay Area","San Francisco",2023,26,2023-06-25,2023-07-01,"Jun",39109070,848019,27,0,1055,6,3.2,124.4,0.7
"Bay Area","San Francisco",2023,27,2023-07-02,2023-07-08,"Jul",39109070,848019,43,0,1322,21,5.1,155.9,2.5
"Bay Area","San Francisco",2023,28,2023-07-09,2023-07-15,"Jul",39109070,848019,60,0,1589,36,7.1,187.4,4.2
"Bay Area","San Francisco",2023,29,2023-07-16,2023-07-22,"Jul",39109070,848019,72,0,1340,38,8.5,158,4.5
"Bay Area","San Francisco",2023,30,2023-07-23,2023-07-29,"Jul",39109070,848019,86,0,1367,42,10.1,161.2,5
"Bay Area","San Francisco",2023,31,2023-07-30,2023-08-05,"Jul",39109070,848019,124,0,2425,41,14.6,286,4.8
"Bay Area","San Francisco",2023,32,2023-08-06,2023-08-12,"Aug",39109070,848019,147,0,2360,48,17.3,278.3,5.7
"Bay Area","San Francisco",2023,33,2023-08-13,2023-08-19,"Aug",39109070,848019,189,0,3076,69,22.3,362.7,8.1
"Bay Area","San Francisco",2023,34,2023-08-20,2023-08-26,"Aug",39109070,848019,228,0,4708,74,26.9,555.2,8.7
"Bay Area","San Francisco",2023,35,2023-08-27,2023-09-02,"Aug",39109070,848019,304,0,7098,73,35.8,837,8.6
"Bay Area","San Francisco",2023,36,2023-09-03,2023-09-09,"Sep",39109070,848019,374,0,7062,128,44.1,832.8,15.1
"Bay Area","San Francisco",2023,37,2023-09-10,2023-09-16,"Sep",39109070,848019,425,0,6400,164,50.1,754.7,19.3
"Bay Area","San Francisco",2023,38,2023-09-17,2023-09-23,"Sep",39109070,848019,487,0,7507,195,57.4,885.2,23
"Bay Area","San Francisco",2023,39,2023-09-24,2023-09-30,"Sep",39109070,848019,536,0,6161,166,63.2,726.5,19.6
"Bay Area","San Francisco",2023,40,2023-10-01,2023-10-07,"Oct",39109070,848019,597,0,6158,198,70.4,726.2,23.3
"Bay Area","San Francisco",2023,41,2023-10-08,2023-10-14,"Oct",39109070,848019,666,0,6007,179,78.5,708.4,21.1
"Bay Area","San Francisco",2023,42,2023-10-15,2023-10-21,"Oct",39109070,848019,725,0,6036,154,85.5,711.8,18.2
"Bay Area","San Francisco",2023,43,2023-10-22,2023-10-28,"Oct",39109070,848019,776,0,4976,184,91.5,586.8,21.7
"Bay Area","San Francisco",2023,44,2023-10-29,2023-11-04,"Oct",39109070,848019,804,0,3336,159,94.8,393.4,18.7
"Bay Area","San Francisco",2023,45,2023-11-05,2023-11-11,"Nov",39109070,848019,830,0,2420,149,97.9,285.4,17.6
"Bay Area","San Francisco",2023,46,2023-11-12,2023-11-18,"Nov",39109070,848019,847,0,902,100,99.9,106.4,11.8
"Bay Area","San Francisco",2023,47,2023-11-19,2023-11-25,"Nov",39109070,848019,847,0,111,70,99.9,13.1,8.3
"Bay Area","San Francisco",2023,48,2023-11-26,2023-12-02,"Nov",39109070,848019,847,0,152,46,99.9,17.9,5.4
"Bay Area","San Francisco",2023,49,2023-12-03,2023-12-09,"Dec",39109070,848019,847,0,0,11,99.9,0,1.3
"Bay Area","San Francisco",2023,50,2023-12-10,2023-12-16,"Dec",39109070,848019,850,0,136,4,100.2,16,0.5
"Bay Area","San Francisco",2023,51,2023-12-17,2023-12-23,"Dec",39109070,848019,850,0,0,2,100.2,0,0.2
"Bay Area","San Francisco",2023,52,2023-12-24,2023-12-30,"Dec",39109070,848019,850,0,0,4,100.2,0,0.5
"Bay Area","San Mateo",2023,22,2023-05-28,2023-06-03,"May",39109070,749075,2,0,206,0,0.3,27.5,0
