"health_officer_region","county","group_var_cat","group_var","group_pop","cumulative_infected","cumulative_severe","inf_rate_100k","sev_rate_100k","total_group_var_pop","total_ca_pop","geo_level"
"Bay Area","Napa","MALE","sex",1813224,6345,194,350,11,1095053960,39109070,"county"
"Bay Area","San Benito","FEMALE","sex",921004,2646,86,287,9,1095053960,39109070,"county"
"Bay Area","San Benito","MALE","sex",901292,2645,74,293,8,1095053960,39109070,"county"
"Bay Area","San Francisco","FEMALE","sex",11790856,42799,1276,363,11,1095053960,39109070,"county"
"Bay Area","San Francisco","MALE","sex",11953676,42317,1103,354,9,1095053960,39109070,"county"
"Bay Area","San Mateo","FEMALE","sex",10664416,34833,1143,327,11,1095053960,39109070,"county"
"Bay Area","San Mateo","MALE","sex",10309684,33153,1009,322,10,1095053960,39109070,"county"
"Bay Area","Santa Clara","FEMALE","sex",26715276,86138,2580,322,10,1095053960,39109070,"county"
"Bay Area","Santa Clara","MALE","sex",26813696,86936,2403,324,9,1095053960,39109070,"county"
"Bay Area","Santa Cruz","FEMALE","sex",3720192,13177,406,354,11,1095053960,39109070,"county"
"Bay Area","Santa Cruz","MALE","sex",3646636,13156,435,361,12,1095053960,39109070,"county"
"Bay Area","Solano","FEMALE","sex",6372436,42584,1292,668,20,1095053960,39109070,"county"
"Bay Area","Solano","MALE","sex",6136424,41744,1185,680,19,1095053960,39109070,"county"
"Bay Area","Sonoma","FEMALE","sex",6925268,23802,873,344,13,1095053960,39109070,"county"
"Bay Area","Sonoma","MALE","sex",6509860,22520,741,346,11,1095053960,39109070,"county"
"Central California","Calaveras","FEMALE","sex",627368,2396,100,382,16,1095053960,39109070,"county"
"Central California","Calaveras","MALE","sex",621572,2280,100,367,16,1095053960,39109070,"county"
"Central California","Fresno","FEMALE","sex",14466144,43119,1157,298,8,1095053960,39109070,"county"
"Central California","Fresno","MALE","sex",13881728,42840,1060,309,8,1095053960,39109070,"county"
"Central California","Kern","FEMALE","sex",12924828,106431,2614,823,20,1095053960,39109070,"county"
"Central California","Kern","MALE","sex",12369588,112123,2414,906,20,1095053960,39109070,"county"
"Central California","Kings","FEMALE","sex",1915872,15532,395,811,21,1095053960,39109070,"county"
"Central California","Kings","MALE","sex",2351468,19283,408,820,17,1095053960,39109070,"county"
"Central California","Madera","FEMALE","sex",2244424,8797,238,392,11,1095053960,39109070,"county"
"Central California","Madera","MALE","sex",2192372,8146,210,372,10,1095053960,39109070,"county"
"Central California","Mariposa","FEMALE","sex",235704,911,36,387,15,1095053960,39109070,"county"
"Central California","Mariposa","MALE","sex",236376,989,41,418,17,1095053960,39109070,"county"
"Central California","Merced","FEMALE","sex",4037908,32051,790,794,20,1095053960,39109070,"county"
"Central California","Merced","MALE","sex",3958892,32540,746,822,19,1095053960,39109070,"county"
"Central California","San Joaquin","FEMALE","sex",11178328,75896,2008,679,18,1095053960,39109070,"county"
"Central California","San Joaquin","MALE","sex",10788456,74365,1827,689,17,1095053960,39109070,"county"
"Central California","Stanislaus","FEMALE","sex",7840084,55046,1569,702,20,1095053960,39109070,"county"
"Central California","Stanislaus","MALE","sex",7439628,53826,1313,724,18,1095053960,39109070,"county"
"Central California","Tulare","FEMALE","sex",6818700,56406,1383,827,20,1095053960,39109070,"county"
"Central California","Tulare","MALE","sex",6475476,56093,1281,866,20,1095053960,39109070,"county"
"Central California","Tuolumne","FEMALE","sex",732956,2636,104,360,14,1095053960,39109070,"county"
"Central California","Tuolumne","MALE","sex",761880,2811,103,369,14,1095053960,39109070,"county"
"Greater Sierra Sacramento","Alpine","FEMALE","sex",15344,63,1,411,7,1095053960,39109070,"county"
"Greater Sierra Sacramento","Alpine","MALE","sex",17276,65,3,376,17,1095053960,39109070,"county"
"Greater Sierra Sacramento","Amador","FEMALE","sex",530516,1646,69,310,13,1095053960,39109070,"county"
"Greater Sierra Sacramento","Amador","MALE","sex",592900,1885,71,318,12,1095053960,39109070,"county"
"Greater Sierra Sacramento","Butte","FEMALE","sex",2984408,10407,355,349,12,1095053960,39109070,"county"
"Greater Sierra Sacramento","Butte","MALE","sex",2779672,10434,329,375,12,1095053960,39109070,"county"
"Greater Sierra Sacramento","Colusa","FEMALE","sex",305816,2284,67,747,22,1095053960,39109070,"county"
"Greater Sierra Sacramento","Colusa","MALE","sex",307524,2343,68,762,22,1095053960,39109070,"county"
"Greater Sierra Sacramento","El Dorado","FEMALE","sex",2667168,9399,361,352,14,1095053960,39109070,"county"
"Greater Sierra Sacramento","El Dorado","MALE","sex",2576812,9519,345,369,13,1095053960,39109070,"county"
"Greater Sierra Sacramento","Nevada","FEMALE","sex",1430940,4988,217,349,15,1095053960,39109070,"county"
"Greater Sierra Sacramento","Nevada","MALE","sex",1380260,4888,182,354,13,1095053960,39109070,"county"
"Greater Sierra Sacramento","Placer","FEMALE","sex",5933508,18724,625,316,11,1095053960,39109070,"county"
"Greater Sierra Sacramento","Placer","MALE","sex",5566260,17955,548,323,10,1095053960,39109070,"county"
"Greater Sierra Sacramento","Plumas","FEMALE","sex",260932,1256,46,481,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Plumas","MALE","sex",269808,1162,49,431,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sacramento","FEMALE","sex",22832040,157146,4500,688,20,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sacramento","MALE","sex",21459228,150142,3823,700,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sierra","FEMALE","sex",43120,206,10,478,23,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sierra","MALE","sex",45136,198,11,439,24,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sutter","FEMALE","sex",1379420,9460,267,686,19,1095053960,39109070,"county"
"Greater Sierra Sacramento","Sutter","MALE","sex",1368808,9334,252,682,18,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yolo","FEMALE","sex",3194072,11732,307,367,10,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yolo","MALE","sex",2976596,10738,260,361,9,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yuba","FEMALE","sex",1179136,7263,192,616,16,1095053960,39109070,"county"
"Greater Sierra Sacramento","Yuba","MALE","sex",1153180,7153,176,620,15,1095053960,39109070,"county"
"Los Angeles","Los Angeles","FEMALE","sex",141389500,451545,13684,319,10,1095053960,39109070,"county"
"Los Angeles","Los Angeles","MALE","sex",133730324,434611,11425,325,9,1095053960,39109070,"county"
"Rural North","Del Norte","FEMALE","sex",362516,1240,36,342,10,1095053960,39109070,"county"
"Rural North","Del Norte","MALE","sex",376180,1492,45,397,12,1095053960,39109070,"county"
"Rural North","Glenn","FEMALE","sex",399784,1260,38,315,10,1095053960,39109070,"county"
"Rural North","Glenn","MALE","sex",385308,1278,45,332,12,1095053960,39109070,"county"
"Rural North","Humboldt","FEMALE","sex",1902348,6384,211,336,11,1095053960,39109070,"county"
"Rural North","Humboldt","MALE","sex",1860516,6401,210,344,11,1095053960,39109070,"county"
"Rural North","Lake","FEMALE","sex",918596,3492,129,380,14,1095053960,39109070,"county"
"Rural North","Lake","MALE","sex",941892,3431,134,364,14,1095053960,39109070,"county"
"Rural North","Lassen","FEMALE","sex",279636,1073,43,384,15,1095053960,39109070,"county"
"Rural North","Lassen","MALE","sex",510860,1902,59,372,12,1095053960,39109070,"county"
"Rural North","Mendocino","FEMALE","sex",1259076,4624,163,367,13,1095053960,39109070,"county"
"Rural North","Mendocino","MALE","sex",1241772,4464,176,359,14,1095053960,39109070,"county"
"Rural North","Modoc","FEMALE","sex",116312,495,18,426,15,1095053960,39109070,"county"
"Rural North","Modoc","MALE","sex",120176,516,18,429,15,1095053960,39109070,"county"
"Rural North","Shasta","FEMALE","sex",2547160,8240,308,323,12,1095053960,39109070,"county"
"Rural North","Shasta","MALE","sex",2463664,7974,278,324,11,1095053960,39109070,"county"
"Rural North","Siskiyou","FEMALE","sex",609840,2437,102,400,17,1095053960,39109070,"county"
"Rural North","Siskiyou","MALE","sex",593068,2305,87,389,15,1095053960,39109070,"county"
"Rural North","Tehama","FEMALE","sex",911652,6395,211,701,23,1095053960,39109070,"county"
"Rural North","Tehama","MALE","sex",899304,6250,196,695,22,1095053960,39109070,"county"
"Rural North","Trinity","FEMALE","sex",197288,616,25,312,13,1095053960,39109070,"county"
"Rural North","Trinity","MALE","sex",247072,627,27,254,11,1095053960,39109070,"county"
"Southern California","Imperial","FEMALE","sex",2609908,38987,1050,1494,40,1095053960,39109070,"county"
"Southern California","Imperial","MALE","sex",2419984,39636,909,1638,38,1095053960,39109070,"county"
"Southern California","Inyo","FEMALE","sex",256956,2468,91,960,35,1095053960,39109070,"county"
"Southern California","Inyo","MALE","sex",267512,2569,116,960,43,1095053960,39109070,"county"
"Southern California","Mono","FEMALE","sex",175224,613,18,350,10,1095053960,39109070,"county"
"Southern California","Mono","MALE","sex",196420,631,23,321,12,1095053960,39109070,"county"
"Southern California","Orange","FEMALE","sex",45034892,140731,4305,312,10,1095053960,39109070,"county"
"Southern California","Orange","MALE","sex",42948864,136783,3805,318,9,1095053960,39109070,"county"
"Southern California","Riverside","FEMALE","sex",34736380,109613,3392,316,10,1095053960,39109070,"county"
"Southern California","Riverside","MALE","sex",33338732,106996,2999,321,9,1095053960,39109070,"county"
"Southern California","San Bernardino","FEMALE","sex",30846844,246669,6389,800,21,1095053960,39109070,"county"
"Southern California","San Bernardino","MALE","sex",29929760,241188,5655,806,19,1095053960,39109070,"county"
"Southern California","San Diego","FEMALE","sex",46263756,143649,4307,311,9,1095053960,39109070,"county"
"Southern California","San Diego","MALE","sex",46076324,143607,3941,312,9,1095053960,39109070,"county"
"Southern California","San Luis Obispo","FEMALE","sex",4049360,17322,707,428,17,1095053960,39109070,"county"
"Southern California","San Luis Obispo","MALE","sex",3797668,17972,543,473,14,1095053960,39109070,"county"
"Southern California","Santa Barbara","FEMALE","sex",6281268,19961,606,318,10,1095053960,39109070,"county"
"Southern California","Santa Barbara","MALE","sex",6111924,20189,547,330,9,1095053960,39109070,"county"
"Southern California","Ventura","FEMALE","sex",11849152,37634,1185,318,10,1095053960,39109070,"county"
"Southern California","Ventura","MALE","sex",11277084,36746,1062,326,9,1095053960,39109070,"county"
"Bay Area","Alameda","0-17","age_cat",4668664,9538,10,204,0,547526980,39109070,"county"
"Bay Area","Alameda","18-49","age_cat",10549994,82655,998,783,9,547526980,39109070,"county"
"Bay Area","Alameda","50-64","age_cat",4336332,17763,76,410,2,547526980,39109070,"county"
"Bay Area","Alameda","65+","age_cat",3629528,39085,3057,1077,84,547526980,39109070,"county"
"Bay Area","Contra Costa","0-17","age_cat",3553676,6885,11,194,0,547526980,39109070,"county"
"Bay Area","Contra Costa","18-49","age_cat",6392736,51467,636,805,10,547526980,39109070,"county"
"Bay Area","Contra Costa","50-64","age_cat",3186708,13376,65,420,2,547526980,39109070,"county"
"Bay Area","Contra Costa","65+","age_cat",2918384,31314,2483,1073,85,547526980,39109070,"county"
"Bay Area","Marin","0-17","age_cat",680904,1327,1,195,0,547526980,39109070,"county"
"Bay Area","Marin","18-49","age_cat",1179570,10014,118,849,10,547526980,39109070,"county"
"Bay Area","Marin","50-64","age_cat",808976,3349,13,414,2,547526980,39109070,"county"
"Bay Area","Marin","65+","age_cat",896966,9628,794,1073,89,547526980,39109070,"county"
"Bay Area","Monterey","0-17","age_cat",1595006,3701,1,232,0,547526980,39109070,"county"
"Bay Area","Monterey","18-49","age_cat",2617230,24226,321,926,12,547526980,39109070,"county"
"Bay Area","Monterey","50-64","age_cat",989758,4800,37,485,4,547526980,39109070,"county"
"Bay Area","Monterey","65+","age_cat",908670,11409,948,1256,104,547526980,39109070,"county"
"Bay Area","Napa","0-17","age_cat",359324,695,1,193,0,547526980,39109070,"county"
"Bay Area","Napa","18-49","age_cat",731570,6345,79,867,11,547526980,39109070,"county"
"Bay Area","Napa","50-64","age_cat",364574,1522,9,417,2,547526980,39109070,"county"
"Bay Area","Napa","65+","age_cat",427308,4111,313,962,73,547526980,39109070,"county"
"Bay Area","San Benito","0-17","age_cat",233198,372,0,160,0,547526980,39109070,"county"
"Bay Area","San Benito","18-49","age_cat",391832,2934,31,749,8,547526980,39109070,"county"
"Bay Area","San Benito","50-64","age_cat",163618,651,2,398,1,547526980,39109070,"county"
"Bay Area","San Benito","65+","age_cat",122500,1334,127,1089,104,547526980,39109070,"county"
"Bay Area","San Francisco","0-17","age_cat",1687910,4137,3,245,0,547526980,39109070,"county"
"Bay Area","San Francisco","18-49","age_cat",5947732,48250,556,811,9,547526980,39109070,"county"
"Bay Area","San Francisco","50-64","age_cat",2169888,9578,47,441,2,547526980,39109070,"county"
"Bay Area","San Francisco","65+","age_cat",2066736,23151,1773,1120,86,547526980,39109070,"county"
"Bay Area","San Mateo","0-17","age_cat",2078538,4277,4,206,0,547526980,39109070,"county"
"Bay Area","San Mateo","18-49","age_cat",4375784,33292,374,761,9,547526980,39109070,"county"
"Bay Area","San Mateo","50-64","age_cat",2044518,9065,34,443,2,547526980,39109070,"county"
"Bay Area","San Mateo","65+","age_cat",1988210,21352,1740,1074,88,547526980,39109070,"county"
"Bay Area","Santa Clara","0-17","age_cat",5496344,11735,11,214,0,547526980,39109070,"county"
"Bay Area","Santa Clara","18-49","age_cat",12106332,92927,1138,768,9,547526980,39109070,"county"
"Bay Area","Santa Clara","50-64","age_cat",5054798,21925,110,434,2,547526980,39109070,"county"
"Bay Area","Santa Clara","65+","age_cat",4107012,46487,3724,1132,91,547526980,39109070,"county"
"Bay Area","Santa Cruz","0-17","age_cat",692874,1703,2,246,0,547526980,39109070,"county"
"Bay Area","Santa Cruz","18-49","age_cat",1638630,13315,170,813,10,547526980,39109070,"county"
"Bay Area","Santa Cruz","50-64","age_cat",668458,3111,18,465,3,547526980,39109070,"county"
"Bay Area","Santa Cruz","65+","age_cat",683452,8204,651,1200,95,547526980,39109070,"county"
"Bay Area","Solano","0-17","age_cat",1406678,6324,2,450,0,547526980,39109070,"county"
"Bay Area","Solano","18-49","age_cat",2598554,43241,547,1664,21,547526980,39109070,"county"
"Bay Area","Solano","50-64","age_cat",1141966,10166,38,890,3,547526980,39109070,"county"
"Bay Area","Solano","65+","age_cat",1107232,24597,1890,2221,171,547526980,39109070,"county"
"Bay Area","Sonoma","0-17","age_cat",1300712,2465,2,190,0,547526980,39109070,"county"
"Bay Area","Sonoma","18-49","age_cat",2665992,21409,266,803,10,547526980,39109070,"county"
"Bay Area","Sonoma","50-64","age_cat",1304128,5679,25,435,2,547526980,39109070,"county"
"Bay Area","Sonoma","65+","age_cat",1446732,16769,1321,1159,91,547526980,39109070,"county"
"Central California","Calaveras","0-17","age_cat",110166,206,0,187,0,547526980,39109070,"county"
"Central California","Calaveras","18-49","age_cat",196196,1626,22,829,11,547526980,39109070,"county"
"Central California","Calaveras","50-64","age_cat",128044,570,1,445,1,547526980,39109070,"county"
"Central California","Calaveras","65+","age_cat",190064,2274,177,1196,93,547526980,39109070,"county"
"Central California","Fresno","0-17","age_cat",4040456,7889,6,195,0,547526980,39109070,"county"
"Central California","Fresno","18-49","age_cat",6230448,49546,562,795,9,547526980,39109070,"county"
"Central California","Fresno","50-64","age_cat",2146914,8764,41,408,2,547526980,39109070,"county"
"Central California","Fresno","65+","age_cat",1756118,19760,1608,1125,92,547526980,39109070,"county"
"Central California","Kern","0-17","age_cat",3711162,21551,12,581,0,547526980,39109070,"county"
"Central California","Kern","18-49","age_cat",5614406,130136,1465,2318,26,547526980,39109070,"county"
"Central California","Kern","50-64","age_cat",1886836,23229,110,1231,6,547526980,39109070,"county"
"Central California","Kern","65+","age_cat",1434804,43638,3441,3041,240,547526980,39109070,"county"
"Central California","Kings","0-17","age_cat",609252,3926,4,644,1,547526980,39109070,"county"
"Central California","Kings","18-49","age_cat",1018948,21403,249,2100,24,547526980,39109070,"county"
"Central California","Kings","50-64","age_cat",298088,2963,18,994,6,547526980,39109070,"county"
"Central California","Kings","65+","age_cat",207382,6523,532,3145,257,547526980,39109070,"county"
"Central California","Madera","0-17","age_cat",612290,1394,2,228,0,547526980,39109070,"county"
"Central California","Madera","18-49","age_cat",936642,9607,120,1026,13,547526980,39109070,"county"
"Central California","Madera","50-64","age_cat",350476,1707,12,487,3,547526980,39109070,"county"
"Central California","Madera","65+","age_cat",318990,4235,314,1328,98,547526980,39109070,"county"
"Central California","Mariposa","0-17","age_cat",42658,79,0,185,0,547526980,39109070,"county"
"Central California","Mariposa","18-49","age_cat",74284,675,9,909,12,547526980,39109070,"county"
"Central California","Mariposa","50-64","age_cat",45164,237,2,525,4,547526980,39109070,"county"
"Central California","Mariposa","65+","age_cat",73934,909,66,1229,89,547526980,39109070,"county"
"Central California","Merced","0-17","age_cat",1161328,6546,9,564,1,547526980,39109070,"county"
"Central California","Merced","18-49","age_cat",1781444,38199,474,2144,27,547526980,39109070,"county"
"Central California","Merced","50-64","age_cat",601734,6907,32,1148,5,547526980,39109070,"county"
"Central California","Merced","65+","age_cat",453894,12939,1021,2851,225,547526980,39109070,"county"
"Central California","San Joaquin","0-17","age_cat",2942576,13425,16,456,1,547526980,39109070,"county"
"Central California","San Joaquin","18-49","age_cat",4737866,83171,1003,1755,21,547526980,39109070,"county"
"Central California","San Joaquin","50-64","age_cat",1831424,18484,109,1009,6,547526980,39109070,"county"
"Central California","San Joaquin","65+","age_cat",1471526,35181,2707,2391,184,547526980,39109070,"county"
"Central California","Stanislaus","0-17","age_cat",2077992,9816,14,472,1,547526980,39109070,"county"
"Central California","Stanislaus","18-49","age_cat",3282398,61101,709,1861,22,547526980,39109070,"county"
"Central California","Stanislaus","50-64","age_cat",1249052,12416,74,994,6,547526980,39109070,"county"
"Central California","Stanislaus","65+","age_cat",1030414,25539,2085,2479,202,547526980,39109070,"county"
"Central California","Tulare","0-17","age_cat",2012164,11995,11,596,1,547526980,39109070,"county"
"Central California","Tulare","18-49","age_cat",2887122,64618,740,2238,26,547526980,39109070,"county"
"Central California","Tulare","50-64","age_cat",986622,12195,61,1236,6,547526980,39109070,"county"
"Central California","Tulare","65+","age_cat",761180,23691,1852,3112,243,547526980,39109070,"county"
"Central California","Tuolumne","0-17","age_cat",134694,283,1,210,1,547526980,39109070,"county"
"Central California","Tuolumne","18-49","age_cat",265300,2183,24,823,9,547526980,39109070,"county"
"Central California","Tuolumne","50-64","age_cat",133210,571,2,429,2,547526980,39109070,"county"
"Central California","Tuolumne","65+","age_cat",214214,2410,180,1125,84,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","0-17","age_cat",2548,9,0,353,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","18-49","age_cat",5362,48,0,895,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","50-64","age_cat",3556,11,0,309,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","65+","age_cat",4844,60,4,1239,83,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","0-17","age_cat",91336,145,0,159,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","18-49","age_cat",195776,1432,16,731,8,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","50-64","age_cat",112994,400,1,354,1,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","65+","age_cat",161602,1554,123,962,76,547526980,39109070,"county"
"Greater Sierra Sacramento","Butte","0-17","age_cat",583226,1310,2,225,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Butte","18-49","age_cat",1361696,11540,120,847,9,547526980,39109070,"county"
