"health_officer_region","county","group_var_cat","group_var","group_pop","cumulative_infected","cumulative_severe","inf_rate_100k","sev_rate_100k","total_group_var_pop","total_ca_pop","geo_level"
"Southern California","Riverside","MALE","sex",33338732,106996,2999,321,9,1095053960,39109070,"county"
"Southern California","San Bernardino","FEMALE","sex",30846844,246669,6389,800,21,1095053960,39109070,"county"
"Southern California","San Bernardino","MALE","sex",29929760,241188,5655,806,19,1095053960,39109070,"county"
"Southern California","San Diego","FEMALE","sex",46263756,143649,4307,311,9,1095053960,39109070,"county"
"Southern California","San Diego","MALE","sex",46076324,143607,3941,312,9,1095053960,39109070,"county"
"Southern California","San Luis Obispo","FEMALE","sex",4049360,17322,707,428,17,1095053960,39109070,"county"
"Southern California","San Luis Obispo","MALE","sex",3797668,17972,543,473,14,1095053960,39109070,"county"
"Southern California","Santa Barbara","FEMALE","sex",6281268,19961,606,318,10,1095053960,39109070,"county"
"Southern California","Santa Barbara","MALE","sex",6111924,20189,547,330,9,1095053960,39109070,"county"
"Southern California","Ventura","FEMALE","sex",11849152,37634,1185,318,10,1095053960,39109070,"county"
"Southern California","Ventura","MALE","sex",11277084,36746,1062,326,9,1095053960,39109070,"county"
"Bay Area","Alameda","0-17","age_cat",4668664,9538,10,204,0,547526980,39109070,"county"
"Bay Area","Alameda","18-49","age_cat",10549994,82655,998,783,9,547526980,39109070,"county"
"Bay Area","Alameda","50-64","age_cat",4336332,17763,76,410,2,547526980,39109070,"county"
"Bay Area","Alameda","65+","age_cat",3629528,39085,3057,1077,84,547526980,39109070,"county"
"Bay Area","Contra Costa","0-17","age_cat",3553676,6885,11,194,0,547526980,39109070,"county"
"Bay Area","Contra Costa","18-49","age_cat",6392736,51467,636,805,10,547526980,39109070,"county"
"Bay Area","Contra Costa","50-64","age_cat",3186708,13376,65,420,2,547526980,39109070,"county"
"Bay Area","Contra Costa","65+","age_cat",2918384,31314,2483,1073,85,547526980,39109070,"county"
"Bay Area","Marin","0-17","age_cat",680904,1327,1,195,0,547526980,39109070,"county"
"Bay Area","Marin","18-49","age_cat",1179570,10014,118,849,10,547526980,39109070,"county"
"Bay Area","Marin","50-64","age_cat",808976,3349,13,414,2,547526980,39109070,"county"
"Bay Area","Marin","65+","age_cat",896966,9628,794,1073,89,547526980,39109070,"county"
"Bay Area","Monterey","0-17","age_cat",1595006,3701,1,232,0,547526980,39109070,"county"
"Bay Area","Monterey","18-49","age_cat",2617230,24226,321,926,12,547526980,39109070,"county"
"Bay Area","Monterey","50-64","age_cat",989758,4800,37,485,4,547526980,39109070,"county"
"Bay Area","Monterey","65+","age_cat",908670,11409,948,1256,104,547526980,39109070,"county"
"Bay Area","Napa","0-17","age_cat",359324,695,1,193,0,547526980,39109070,"county"
"Bay Area","Napa","18-49","age_cat",731570,6345,79,867,11,547526980,39109070,"county"
"Bay Area","Napa","50-64","age_cat",364574,1522,9,417,2,547526980,39109070,"county"
"Bay Area","Napa","65+","age_cat",427308,4111,313,962,73,547526980,39109070,"county"
"Bay Area","San Benito","0-17","age_cat",233198,372,0,160,0,547526980,39109070,"county"
"Bay Area","San Benito","18-49","age_cat",391832,2934,31,749,8,547526980,39109070,"county"
"Bay Area","San Benito","50-64","age_cat",163618,651,2,398,1,547526980,39109070,"county"
"Bay Area","San Benito","65+","age_cat",122500,1334,127,1089,104,547526980,39109070,"county"
"Bay Area","San Francisco","0-17","age_cat",1687910,4137,3,245,0,547526980,39109070,"county"
"Bay Area","San Francisco","18-49","age_cat",5947732,48250,556,811,9,547526980,39109070,"county"
"Bay Area","San Francisco","50-64","age_cat",2169888,9578,47,441,2,547526980,39109070,"county"
"Bay Area","San Francisco","65+","age_cat",2066736,23151,1773,1120,86,547526980,39109070,"county"
"Bay Area","San Mateo","0-17","age_cat",2078538,4277,4,206,0,547526980,39109070,"county"
"Bay Area","San Mateo","18-49","age_cat",4375784,33292,374,761,9,547526980,39109070,"county"
"Bay Area","San Mateo","50-64","age_cat",2044518,9065,34,443,2,547526980,39109070,"county"
"Bay Area","San Mateo","65+","age_cat",1988210,21352,1740,1074,88,547526980,39109070,"county"
"Bay Area","Santa Clara","0-17","age_cat",5496344,11735,11,214,0,547526980,39109070,"county"
"Bay Area","Santa Clara","18-49","age_cat",12106332,92927,1138,768,9,547526980,39109070,"county"
"Bay Area","Santa Clara","50-64","age_cat",5054798,21925,110,434,2,547526980,39109070,"county"
"Bay Area","Santa Clara","65+","age_cat",4107012,46487,3724,1132,91,547526980,39109070,"county"
"Bay Area","Santa Cruz","0-17","age_cat",692874,1703,2,246,0,547526980,39109070,"county"
"Bay Area","Santa Cruz","18-49","age_cat",1638630,13315,170,813,10,547526980,39109070,"county"
"Bay Area","Santa Cruz","50-64","age_cat",668458,3111,18,465,3,547526980,39109070,"county"
"Bay Area","Santa Cruz","65+","age_cat",683452,8204,651,1200,95,547526980,39109070,"county"
"Bay Area","Solano","0-17","age_cat",1406678,6324,2,450,0,547526980,39109070,"county"
"Bay Area","Solano","18-49","age_cat",2598554,43241,547,1664,21,547526980,39109070,"county"
"Bay Area","Solano","50-64","age_cat",1141966,10166,38,890,3,547526980,39109070,"county"
"Bay Area","Solano","65+","age_cat",1107232,24597,1890,2221,171,547526980,39109070,"county"
"Bay Area","Sonoma","0-17","age_cat",1300712,2465,2,190,0,547526980,39109070,"county"
"Bay Area","Sonoma","18-49","age_cat",2665992,21409,266,803,10,547526980,39109070,"county"
"Bay Area","Sonoma","50-64","age_cat",1304128,5679,25,435,2,547526980,39109070,"county"
"Bay Area","Sonoma","65+","age_cat",1446732,16769,1321,1159,91,547526980,39109070,"county"
"Central California","Calaveras","0-17","age_cat",110166,206,0,187,0,547526980,39109070,"county"
"Central California","Calaveras","18-49","age_cat",196196,1626,22,829,11,547526980,39109070,"county"
"Central California","Calaveras","50-64","age_cat",128044,570,1,445,1,547526980,39109070,"county"
"Central California","Calaveras","65+","age_cat",190064,2274,177,1196,93,547526980,39109070,"county"
"Central California","Fresno","0-17","age_cat",4040456,7889,6,195,0,547526980,39109070,"county"
"Central California","Fresno","18-49","age_cat",6230448,49546,562,795,9,547526980,39109070,"county"
"Central California","Fresno","50-64","age_cat",2146914,8764,41,408,2,547526980,39109070,"county"
"Central California","Fresno","65+","age_cat",1756118,19760,1608,1125,92,547526980,39109070,"county"
"Central California","Kern","0-17","age_cat",3711162,21551,12,581,0,547526980,39109070,"county"
"Central California","Kern","18-49","age_cat",5614406,130136,1465,2318,26,547526980,39109070,"county"
"Central California","Kern","50-64","age_cat",1886836,23229,110,1231,6,547526980,39109070,"county"
"Central California","Kern","65+","age_cat",1434804,43638,3441,3041,240,547526980,39109070,"county"
"Central California","Kings","0-17","age_cat",609252,3926,4,644,1,547526980,39109070,"county"
"Central California","Kings","18-49","age_cat",1018948,21403,249,2100,24,547526980,39109070,"county"
"Central California","Kings","50-64","age_cat",298088,2963,18,994,6,547526980,39109070,"county"
"Central California","Kings","65+","age_cat",207382,6523,532,3145,257,547526980,39109070,"county"
"Central California","Madera","0-17","age_cat",612290,1394,2,228,0,547526980,39109070,"county"
"Central California","Madera","18-49","age_cat",936642,9607,120,1026,13,547526980,39109070,"county"
"Central California","Madera","50-64","age_cat",350476,1707,12,487,3,547526980,39109070,"county"
"Central California","Madera","65+","age_cat",318990,4235,314,1328,98,547526980,39109070,"county"
"Central California","Mariposa","0-17","age_cat",42658,79,0,185,0,547526980,39109070,"county"
"Central California","Mariposa","18-49","age_cat",74284,675,9,909,12,547526980,39109070,"county"
"Central California","Mariposa","50-64","age_cat",45164,237,2,525,4,547526980,39109070,"county"
"Central California","Mariposa","65+","age_cat",73934,909,66,1229,89,547526980,39109070,"county"
"Central California","Merced","0-17","age_cat",1161328,6546,9,564,1,547526980,39109070,"county"
"Central California","Merced","18-49","age_cat",1781444,38199,474,2144,27,547526980,39109070,"county"
"Central California","Merced","50-64","age_cat",601734,6907,32,1148,5,547526980,39109070,"county"
"Central California","Merced","65+","age_cat",453894,12939,1021,2851,225,547526980,39109070,"county"
"Central California","San Joaquin","0-17","age_cat",2942576,13425,16,456,1,547526980,39109070,"county"
"Central California","San Joaquin","18-49","age_cat",4737866,83171,1003,1755,21,547526980,39109070,"county"
"Central California","San Joaquin","50-64","age_cat",1831424,18484,109,1009,6,547526980,39109070,"county"
"Central California","San Joaquin","65+","age_cat",1471526,35181,2707,2391,184,547526980,39109070,"county"
"Central California","Stanislaus","0-17","age_cat",2077992,9816,14,472,1,547526980,39109070,"county"
"Central California","Stanislaus","18-49","age_cat",3282398,61101,709,1861,22,547526980,39109070,"county"
"Central California","Stanislaus","50-64","age_cat",1249052,12416,74,994,6,547526980,39109070,"county"
"Central California","Stanislaus","65+","age_cat",1030414,25539,2085,2479,202,547526980,39109070,"county"
"Central California","Tulare","0-17","age_cat",2012164,11995,11,596,1,547526980,39109070,"county"
"Central California","Tulare","18-49","age_cat",2887122,64618,740,2238,26,547526980,39109070,"county"
"Central California","Tulare","50-64","age_cat",986622,12195,61,1236,6,547526980,39109070,"county"
"Central California","Tulare","65+","age_cat",761180,23691,1852,3112,243,547526980,39109070,"county"
"Central California","Tuolumne","0-17","age_cat",134694,283,1,210,1,547526980,39109070,"county"
"Central California","Tuolumne","18-49","age_cat",265300,2183,24,823,9,547526980,39109070,"county"
"Central California","Tuolumne","50-64","age_cat",133210,571,2,429,2,547526980,39109070,"county"
"Central California","Tuolumne","65+","age_cat",214214,2410,180,1125,84,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","0-17","age_cat",2548,9,0,353,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","18-49","age_cat",5362,48,0,895,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","50-64","age_cat",3556,11,0,309,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Alpine","65+","age_cat",4844,60,4,1239,83,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","0-17","age_cat",91336,145,0,159,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","18-49","age_cat",195776,1432,16,731,8,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","50-64","age_cat",112994,400,1,354,1,547526980,39109070,"county"
"Greater Sierra Sacramento","Amador","65+","age_cat",161602,1554,123,962,76,547526980,39109070,"county"
"Greater Sierra Sacramento","Butte","0-17","age_cat",583226,1310,2,225,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Butte","18-49","age_cat",1361696,11540,120,847,9,547526980,39109070,"county"
"Greater Sierra Sacramento","Butte","50-64","age_cat",481250,1865,7,388,1,547526980,39109070,"county"
"Greater Sierra Sacramento","Butte","65+","age_cat",455868,6126,555,1344,122,547526980,39109070,"county"
"Greater Sierra Sacramento","Colusa","0-17","age_cat",81886,427,1,521,1,547526980,39109070,"county"
"Greater Sierra Sacramento","Colusa","18-49","age_cat",126924,2439,28,1922,22,547526980,39109070,"county"
"Greater Sierra Sacramento","Colusa","50-64","age_cat",51184,537,1,1049,2,547526980,39109070,"county"
"Greater Sierra Sacramento","Colusa","65+","age_cat",46676,1224,105,2622,225,547526980,39109070,"county"
"Greater Sierra Sacramento","El Dorado","0-17","age_cat",531664,1057,3,199,1,547526980,39109070,"county"
"Greater Sierra Sacramento","El Dorado","18-49","age_cat",889322,8447,95,950,11,547526980,39109070,"county"
"Greater Sierra Sacramento","El Dorado","50-64","age_cat",551096,2289,10,415,2,547526980,39109070,"county"
"Greater Sierra Sacramento","El Dorado","65+","age_cat",649908,7125,598,1096,92,547526980,39109070,"county"
"Greater Sierra Sacramento","Nevada","0-17","age_cat",245602,459,0,187,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Nevada","18-49","age_cat",460824,4025,48,873,10,547526980,39109070,"county"
"Greater Sierra Sacramento","Nevada","50-64","age_cat",271866,1118,11,411,4,547526980,39109070,"county"
"Greater Sierra Sacramento","Nevada","65+","age_cat",427308,4274,340,1000,80,547526980,39109070,"county"
"Greater Sierra Sacramento","Placer","0-17","age_cat",1275750,2052,1,161,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Placer","18-49","age_cat",2191938,17862,195,815,9,547526980,39109070,"county"
"Greater Sierra Sacramento","Placer","50-64","age_cat",1093008,4154,22,380,2,547526980,39109070,"county"
"Greater Sierra Sacramento","Placer","65+","age_cat",1189188,12611,955,1060,80,547526980,39109070,"county"
"Greater Sierra Sacramento","Plumas","0-17","age_cat",48510,121,0,249,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Plumas","18-49","age_cat",80122,907,7,1132,9,547526980,39109070,"county"
"Greater Sierra Sacramento","Plumas","50-64","age_cat",49266,245,2,497,4,547526980,39109070,"county"
"Greater Sierra Sacramento","Plumas","65+","age_cat",87472,1145,86,1309,98,547526980,39109070,"county"
"Greater Sierra Sacramento","Sacramento","0-17","age_cat",5244050,24279,27,463,1,547526980,39109070,"county"
"Greater Sierra Sacramento","Sacramento","18-49","age_cat",9657130,169219,1987,1752,21,547526980,39109070,"county"
"Greater Sierra Sacramento","Sacramento","50-64","age_cat",3901100,36839,179,944,5,547526980,39109070,"county"
"Greater Sierra Sacramento","Sacramento","65+","age_cat",3343354,76951,6130,2302,183,547526980,39109070,"county"
"Greater Sierra Sacramento","Sierra","0-17","age_cat",7616,19,0,249,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Sierra","18-49","age_cat",12628,135,0,1069,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Sierra","50-64","age_cat",9254,45,0,486,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Sierra","65+","age_cat",14630,205,21,1401,144,547526980,39109070,"county"
"Greater Sierra Sacramento","Sutter","0-17","age_cat",350882,1501,1,428,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Sutter","18-49","age_cat",575932,10206,121,1772,21,547526980,39109070,"county"
"Greater Sierra Sacramento","Sutter","50-64","age_cat",230888,2262,11,980,5,547526980,39109070,"county"
"Greater Sierra Sacramento","Sutter","65+","age_cat",216412,4825,386,2230,178,547526980,39109070,"county"
"Greater Sierra Sacramento","Yolo","0-17","age_cat",635880,1622,1,255,0,547526980,39109070,"county"
"Greater Sierra Sacramento","Yolo","18-49","age_cat",1573992,13630,140,866,9,547526980,39109070,"county"
"Greater Sierra Sacramento","Yolo","50-64","age_cat",472360,2105,14,446,3,547526980,39109070,"county"
"Greater Sierra Sacramento","Yolo","65+","age_cat",403102,5113,412,1268,102,547526980,39109070,"county"
"Greater Sierra Sacramento","Yuba","0-17","age_cat",335328,1370,2,409,1,547526980,39109070,"county"
"Greater Sierra Sacramento","Yuba","18-49","age_cat",509320,8071,88,1585,17,547526980,39109070,"county"
"Greater Sierra Sacramento","Yuba","50-64","age_cat",172816,1665,10,963,6,547526980,39109070,"county"
"Greater Sierra Sacramento","Yuba","65+","age_cat",148694,3310,268,2226,180,547526980,39109070,"county"
"Los Angeles","Los Angeles","0-17","age_cat",27658344,60176,61,218,0,547526980,39109070,"county"
"Los Angeles","Los Angeles","18-49","age_cat",61957000,479251,5632,774,9,547526980,39109070,"county"
"Los Angeles","Los Angeles","50-64","age_cat",26119142,110536,575,423,2,547526980,39109070,"county"
"Los Angeles","Los Angeles","65+","age_cat",21825426,236193,18841,1082,86,547526980,39109070,"county"
"Rural North","Del Norte","0-17","age_cat",82362,179,0,217,0,547526980,39109070,"county"
"Rural North","Del Norte","18-49","age_cat",148260,1445,17,975,11,547526980,39109070,"county"
"Rural North","Del Norte","50-64","age_cat",64148,303,1,472,2,547526980,39109070,"county"
"Rural North","Del Norte","65+","age_cat",74578,805,63,1079,84,547526980,39109070,"county"
"Rural North","Glenn","0-17","age_cat",105518,208,0,197,0,547526980,39109070,"county"
"Rural North","Glenn","18-49","age_cat",154476,1350,19,874,12,547526980,39109070,"county"
"Rural North","Glenn","50-64","age_cat",65842,270,1,410,2,547526980,39109070,"county"
"Rural North","Glenn","65+","age_cat",66710,710,63,1064,94,547526980,39109070,"county"
"Rural North","Humboldt","0-17","age_cat",382004,849,0,222,0,547526980,39109070,"county"
"Rural North","Humboldt","18-49","age_cat",849814,6532,86,769,10,547526980,39109070,"county"
"Rural North","Humboldt","50-64","age_cat",301658,1390,8,461,3,547526980,39109070,"county"
"Rural North","Humboldt","65+","age_cat",347956,4014,327,1154,94,547526980,39109070,"county"
"Rural North","Lake","0-17","age_cat",216076,441,0,204,0,547526980,39109070,"county"
"Rural North","Lake","18-49","age_cat",320698,3078,51,960,16,547526980,39109070,"county"
"Rural North","Lake","50-64","age_cat",170870,777,4,455,2,547526980,39109070,"county"
"Rural North","Lake","65+","age_cat",222600,2627,208,1180,93,547526980,39109070,"county"
"Rural North","Lassen","0-17","age_cat",68964,157,0,228,0,547526980,39109070,"county"
"Rural North","Lassen","18-49","age_cat",204400,1598,24,782,12,547526980,39109070,"county"
"Rural North","Lassen","50-64","age_cat",59052,336,0,569,0,547526980,39109070,"county"
"Rural North","Lassen","65+","age_cat",62832,884,78,1407,124,547526980,39109070,"county"
"Rural North","Mendocino","0-17","age_cat",274638,611,1,222,0,547526980,39109070,"county"
"Rural North","Mendocino","18-49","age_cat",451892,4081,56,903,12,547526980,39109070,"county"
"Rural North","Mendocino","50-64","age_cat",217476,981,5,451,2,547526980,39109070,"county"
"Rural North","Mendocino","65+","age_cat",306418,3415,277,1114,90,547526980,39109070,"county"
"Rural North","Modoc","0-17","age_cat",26922,60,0,223,0,547526980,39109070,"county"
"Rural North","Modoc","18-49","age_cat",39550,387,3,979,8,547526980,39109070,"county"
"Rural North","Modoc","50-64","age_cat",20608,103,1,500,5,547526980,39109070,"county"
"Rural North","Modoc","65+","age_cat",31164,461,32,1479,103,547526980,39109070,"county"
"Rural North","Shasta","0-17","age_cat",570906,1138,2,199,0,547526980,39109070,"county"
