"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks","inf_rate_breaks","sev_case_breaks","sev_rate_breaks"
"Bay Area","Contra Costa",35,2023-08-27,2023-09-02,33472,560,1146536,291.9,4.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",36,2023-09-03,2023-09-09,41909,698,1146536,365.5,6.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",37,2023-09-10,2023-09-16,49890,955,1146536,435.1,8.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",38,2023-09-17,2023-09-23,58822,1219,1146536,513,10.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",39,2023-09-24,2023-09-30,66210,1485,1146536,577.5,13,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",40,2023-10-01,2023-10-07,73600,1773,1146536,641.9,15.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",41,2023-10-08,2023-10-14,80938,2021,1146536,705.9,17.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",42,2023-10-15,2023-10-21,88560,2243,1146536,772.4,19.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",43,2023-10-22,2023-10-28,94636,2466,1146536,825.4,21.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Contra Costa",44,2023-10-29,2023-11-04,98650,2716,1146536,860.4,23.7,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","Contra Costa",45,2023-11-05,2023-11-11,101523,2882,1146536,885.5,25.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",46,2023-11-12,2023-11-18,102542,3012,1146536,894.4,26.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",47,2023-11-19,2023-11-25,102671,3127,1146536,895.5,27.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",48,2023-11-26,2023-12-02,102867,3168,1146536,897.2,27.6,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",49,2023-12-03,2023-12-09,102867,3185,1146536,897.2,27.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",50,2023-12-10,2023-12-16,103042,3189,1146536,898.7,27.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",51,2023-12-17,2023-12-23,103042,3190,1146536,898.7,27.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Contra Costa",52,2023-12-24,2023-12-30,103042,3195,1146536,898.7,27.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",22,2023-05-28,2023-06-03,71,0,254744,2.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",23,2023-06-04,2023-06-10,134,0,254744,5.3,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",24,2023-06-11,2023-06-17,200,1,254744,7.9,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",25,2023-06-18,2023-06-24,371,3,254744,14.6,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",26,2023-06-25,2023-07-01,672,5,254744,26.4,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",27,2023-07-02,2023-07-08,1043,10,254744,40.9,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",28,2023-07-09,2023-07-15,1522,21,254744,59.7,0.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",29,2023-07-16,2023-07-22,1890,37,254744,74.2,1.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",30,2023-07-23,2023-07-29,2312,45,254744,90.8,1.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",31,2023-07-30,2023-08-05,2982,59,254744,117.1,2.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",32,2023-08-06,2023-08-12,3649,73,254744,143.2,2.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",33,2023-08-13,2023-08-19,4548,97,254744,178.5,3.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",34,2023-08-20,2023-08-26,5931,120,254744,232.8,4.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",35,2023-08-27,2023-09-02,8045,141,254744,315.8,5.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",36,2023-09-03,2023-09-09,10006,184,254744,392.8,7.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",37,2023-09-10,2023-09-16,11893,264,254744,466.9,10.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",38,2023-09-17,2023-09-23,14026,340,254744,550.6,13.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",39,2023-09-24,2023-09-30,15729,417,254744,617.4,16.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",40,2023-10-01,2023-10-07,17436,489,254744,684.5,19.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Marin",41,2023-10-08,2023-10-14,19142,577,254744,751.4,22.7,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","Marin",42,2023-10-15,2023-10-21,20948,639,254744,822.3,25.1,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","Marin",43,2023-10-22,2023-10-28,22379,720,254744,878.5,28.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",44,2023-10-29,2023-11-04,23290,786,254744,914.3,30.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",45,2023-11-05,2023-11-11,23972,838,254744,941,32.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",46,2023-11-12,2023-11-18,24211,880,254744,950.4,34.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",47,2023-11-19,2023-11-25,24237,905,254744,951.4,35.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",48,2023-11-26,2023-12-02,24275,920,254744,952.9,36.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",49,2023-12-03,2023-12-09,24275,922,254744,952.9,36.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",50,2023-12-10,2023-12-16,24318,924,254744,954.6,36.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",51,2023-12-17,2023-12-23,24318,924,254744,954.6,36.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Marin",52,2023-12-24,2023-12-30,24318,926,254744,954.6,36.4,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",22,2023-05-28,2023-06-03,124,0,436476,2.8,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",23,2023-06-04,2023-06-10,258,0,436476,5.9,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",24,2023-06-11,2023-06-17,356,3,436476,8.2,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",25,2023-06-18,2023-06-24,675,7,436476,15.5,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",26,2023-06-25,2023-07-01,1247,7,436476,28.6,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",27,2023-07-02,2023-07-08,1891,14,436476,43.3,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",28,2023-07-09,2023-07-15,2731,25,436476,62.6,0.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",29,2023-07-16,2023-07-22,3379,45,436476,77.4,1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",30,2023-07-23,2023-07-29,4113,69,436476,94.2,1.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",31,2023-07-30,2023-08-05,5292,84,436476,121.2,1.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",32,2023-08-06,2023-08-12,6540,102,436476,149.8,2.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",33,2023-08-13,2023-08-19,8157,142,436476,186.9,3.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",34,2023-08-20,2023-08-26,10642,178,436476,243.8,4.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",35,2023-08-27,2023-09-02,14279,213,436476,327.1,4.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",36,2023-09-03,2023-09-09,17955,286,436476,411.4,6.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",37,2023-09-10,2023-09-16,21302,375,436476,488,8.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",38,2023-09-17,2023-09-23,25243,500,436476,578.3,11.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",39,2023-09-24,2023-09-30,28412,606,436476,650.9,13.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",40,2023-10-01,2023-10-07,31536,721,436476,722.5,16.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",41,2023-10-08,2023-10-14,34723,816,436476,795.5,18.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",42,2023-10-15,2023-10-21,37838,917,436476,866.9,21,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Monterey",43,2023-10-22,2023-10-28,40487,1006,436476,927.6,23,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",44,2023-10-29,2023-11-04,42244,1098,436476,967.8,25.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",45,2023-11-05,2023-11-11,43528,1171,436476,997.3,26.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",46,2023-11-12,2023-11-18,43954,1236,436476,1007,28.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",47,2023-11-19,2023-11-25,44004,1281,436476,1008.2,29.3,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",48,2023-11-26,2023-12-02,44071,1297,436476,1009.7,29.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",49,2023-12-03,2023-12-09,44071,1303,436476,1009.7,29.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",50,2023-12-10,2023-12-16,44136,1306,436476,1011.2,29.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",51,2023-12-17,2023-12-23,44136,1307,436476,1011.2,29.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Monterey",52,2023-12-24,2023-12-30,44136,1307,436476,1011.2,29.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",22,2023-05-28,2023-06-03,29,0,134484,2.2,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",23,2023-06-04,2023-06-10,74,0,134484,5.5,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",24,2023-06-11,2023-06-17,111,0,134484,8.3,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",25,2023-06-18,2023-06-24,209,0,134484,15.5,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",26,2023-06-25,2023-07-01,353,2,134484,26.2,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",27,2023-07-02,2023-07-08,533,4,134484,39.6,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",28,2023-07-09,2023-07-15,778,6,134484,57.9,0.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",29,2023-07-16,2023-07-22,969,12,134484,72.1,0.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",30,2023-07-23,2023-07-29,1175,22,134484,87.4,1.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",31,2023-07-30,2023-08-05,1544,26,134484,114.8,1.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",32,2023-08-06,2023-08-12,1943,30,134484,144.5,2.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",33,2023-08-13,2023-08-19,2408,38,134484,179.1,2.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",34,2023-08-20,2023-08-26,3054,52,134484,227.1,3.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",35,2023-08-27,2023-09-02,4084,65,134484,303.7,4.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",36,2023-09-03,2023-09-09,5089,87,134484,378.4,6.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",37,2023-09-10,2023-09-16,6113,108,134484,454.6,8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",38,2023-09-17,2023-09-23,7175,135,134484,533.5,10,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",39,2023-09-24,2023-09-30,8150,177,134484,606,13.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",40,2023-10-01,2023-10-07,9081,212,134484,675.2,15.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",41,2023-10-08,2023-10-14,9983,247,134484,742.3,18.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",42,2023-10-15,2023-10-21,10875,272,134484,808.6,20.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","Napa",43,2023-10-22,2023-10-28,11634,309,134484,865.1,23,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","Napa",44,2023-10-29,2023-11-04,12103,343,134484,900,25.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",45,2023-11-05,2023-11-11,12491,365,134484,928.8,27.1,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",46,2023-11-12,2023-11-18,12610,383,134484,937.7,28.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",47,2023-11-19,2023-11-25,12621,393,134484,938.5,29.2,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",48,2023-11-26,2023-12-02,12645,397,134484,940.3,29.5,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",49,2023-12-03,2023-12-09,12645,400,134484,940.3,29.7,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",50,2023-12-10,2023-12-16,12673,401,134484,942.3,29.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",51,2023-12-17,2023-12-23,12673,401,134484,942.3,29.8,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","Napa",52,2023-12-24,2023-12-30,12673,402,134484,942.3,29.9,"0 - 177K","875 - 2K","0 - 5K","22 - 44"
"Bay Area","San Benito",22,2023-05-28,2023-06-03,14,0,65082,2.2,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",23,2023-06-04,2023-06-10,29,0,65082,4.5,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",24,2023-06-11,2023-06-17,49,0,65082,7.5,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",25,2023-06-18,2023-06-24,84,0,65082,12.9,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",26,2023-06-25,2023-07-01,130,0,65082,20,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",27,2023-07-02,2023-07-08,211,1,65082,32.4,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",28,2023-07-09,2023-07-15,305,3,65082,46.9,0.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",29,2023-07-16,2023-07-22,387,7,65082,59.5,1.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",30,2023-07-23,2023-07-29,478,10,65082,73.4,1.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",31,2023-07-30,2023-08-05,631,15,65082,97,2.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",32,2023-08-06,2023-08-12,789,17,65082,121.2,2.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",33,2023-08-13,2023-08-19,987,19,65082,151.7,2.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",34,2023-08-20,2023-08-26,1274,23,65082,195.8,3.5,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",35,2023-08-27,2023-09-02,1706,30,65082,262.1,4.6,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",36,2023-09-03,2023-09-09,2091,37,65082,321.3,5.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",37,2023-09-10,2023-09-16,2501,50,65082,384.3,7.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",38,2023-09-17,2023-09-23,2964,63,65082,455.4,9.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",39,2023-09-24,2023-09-30,3384,74,65082,520,11.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",40,2023-10-01,2023-10-07,3773,84,65082,579.7,12.9,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",41,2023-10-08,2023-10-14,4148,96,65082,637.3,14.8,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",42,2023-10-15,2023-10-21,4520,109,65082,694.5,16.7,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",43,2023-10-22,2023-10-28,4846,117,65082,744.6,18,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",44,2023-10-29,2023-11-04,5071,133,65082,779.2,20.4,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Benito",45,2023-11-05,2023-11-11,5217,145,65082,801.6,22.3,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Benito",46,2023-11-12,2023-11-18,5272,151,65082,810.1,23.2,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Benito",47,2023-11-19,2023-11-25,5280,156,65082,811.3,24,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Benito",48,2023-11-26,2023-12-02,5285,158,65082,812.1,24.3,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Benito",49,2023-12-03,2023-12-09,5285,158,65082,812.1,24.3,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Benito",50,2023-12-10,2023-12-16,5291,159,65082,813,24.4,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Benito",51,2023-12-17,2023-12-23,5291,160,65082,813,24.6,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Benito",52,2023-12-24,2023-12-30,5291,160,65082,813,24.6,"0 - 177K","0 - 875","0 - 5K","22 - 44"
"Bay Area","San Francisco",22,2023-05-28,2023-06-03,279,0,848019,3.3,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Francisco",23,2023-06-04,2023-06-10,519,0,848019,6.1,0,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Francisco",24,2023-06-11,2023-06-17,729,12,848019,8.6,0.1,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Francisco",25,2023-06-18,2023-06-24,1412,18,848019,16.7,0.2,"0 - 177K","0 - 875","0 - 5K","0 - 22"
"Bay Area","San Francisco",26,2023-06-25,2023-07-01,2467,24,848019,29.1,0.3,"0 - 177K","0 - 875","0 - 5K","0 - 22"
