"health_officer_region","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_HOR_pop","inf_rate_100k","sev_rate_100k","case_breaks_bins","case_breaks","inf_rate_breaks_bins","inf_rate_breaks","sev_case_breaks_bins","sev_case_breaks","sev_rate_breaks_bins","sev_rate_breaks","lng","lat"
"Bay Area",41,2023-10-08,2023-10-14,646408,15459,8391874,7702.8,184.2,4,"645K - 859K",3,"7K - 11K",2,"8K - 17K",3,"179 - 269",-121.816315545145,37.3215838618162
"Bay Area",42,2023-10-15,2023-10-21,706166,17155,8391874,8414.9,204.4,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-121.816315545145,37.3215838618162
"Bay Area",43,2023-10-22,2023-10-28,754321,18940,8391874,8988.7,225.7,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-121.816315545145,37.3215838618162
"Bay Area",44,2023-10-29,2023-11-04,786651,20753,8391874,9374,247.3,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-121.816315545145,37.3215838618162
"Bay Area",45,2023-11-05,2023-11-11,809811,22192,8391874,9649.9,264.4,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-121.816315545145,37.3215838618162
"Bay Area",46,2023-11-12,2023-11-18,817782,23249,8391874,9744.9,277,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",4,"269 - 359",-121.816315545145,37.3215838618162
"Bay Area",47,2023-11-19,2023-11-25,818806,24034,8391874,9757.1,286.4,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",4,"269 - 359",-121.816315545145,37.3215838618162
"Bay Area",48,2023-11-26,2023-12-02,820264,24379,8391874,9774.5,290.5,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",4,"269 - 359",-121.816315545145,37.3215838618162
"Bay Area",49,2023-12-03,2023-12-09,820264,24482,8391874,9774.5,291.7,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",4,"269 - 359",-121.816315545145,37.3215838618162
"Bay Area",50,2023-12-10,2023-12-16,821660,24530,8391874,9791.1,292.3,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",4,"269 - 359",-121.816315545145,37.3215838618162
"Bay Area",51,2023-12-17,2023-12-23,821660,24539,8391874,9791.1,292.4,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",4,"269 - 359",-121.816315545145,37.3215838618162
"Bay Area",52,2023-12-24,2023-12-30,821660,24577,8391874,9791.1,292.9,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",4,"269 - 359",-121.816315545145,37.3215838618162
"Central California",22,2023-05-28,2023-06-03,2491,0,4432134,56.2,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",23,2023-06-04,2023-06-10,5061,0,4432134,114.2,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",24,2023-06-11,2023-06-17,7267,60,4432134,164,1.4,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",25,2023-06-18,2023-06-24,13791,123,4432134,311.2,2.8,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",26,2023-06-25,2023-07-01,24647,176,4432134,556.1,4,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",27,2023-07-02,2023-07-08,37368,332,4432134,843.1,7.5,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",28,2023-07-09,2023-07-15,54259,586,4432134,1224.2,13.2,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",29,2023-07-16,2023-07-22,67291,871,4432134,1518.3,19.7,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",30,2023-07-23,2023-07-29,81219,1291,4432134,1832.5,29.1,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",31,2023-07-30,2023-08-05,105301,1615,4432134,2375.9,36.4,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",32,2023-08-06,2023-08-12,129476,1978,4432134,2921.3,44.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",33,2023-08-13,2023-08-19,159987,2554,4432134,3609.7,57.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",34,2023-08-20,2023-08-26,205089,3128,4432134,4627.3,70.6,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",35,2023-08-27,2023-09-02,274404,3788,4432134,6191.2,85.5,2,"215K - 430K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-119.559355310543,36.612555111951
"Central California",36,2023-09-03,2023-09-09,342246,4853,4432134,7721.9,109.5,2,"215K - 430K",3,"7K - 11K",1,"0 - 8K",2,"89 - 179",-119.559355310543,36.612555111951
"Central California",37,2023-09-10,2023-09-16,404297,6460,4432134,9121.9,145.8,2,"215K - 430K",3,"7K - 11K",1,"0 - 8K",2,"89 - 179",-119.559355310543,36.612555111951
"Central California",38,2023-09-17,2023-09-23,473834,8211,4432134,10690.9,185.3,3,"430K - 645K",3,"7K - 11K",1,"0 - 8K",3,"179 - 269",-119.559355310543,36.612555111951
"Central California",39,2023-09-24,2023-09-30,530769,9781,4432134,11975.5,220.7,3,"430K - 645K",4,"11K - 15K",2,"8K - 17K",3,"179 - 269",-119.559355310543,36.612555111951
"Central California",40,2023-10-01,2023-10-07,587432,11558,4432134,13253.9,260.8,3,"430K - 645K",4,"11K - 15K",2,"8K - 17K",3,"179 - 269",-119.559355310543,36.612555111951
"Central California",41,2023-10-08,2023-10-14,642677,12982,4432134,14500.4,292.9,3,"430K - 645K",4,"11K - 15K",2,"8K - 17K",4,"269 - 359",-119.559355310543,36.612555111951
"Central California",42,2023-10-15,2023-10-21,698104,14377,4432134,15751,324.4,4,"645K - 859K",5,"15K - 18K+",2,"8K - 17K",4,"269 - 359",-119.559355310543,36.612555111951
"Central California",43,2023-10-22,2023-10-28,742470,15699,4432134,16752,354.2,4,"645K - 859K",5,"15K - 18K+",2,"8K - 17K",4,"269 - 359",-119.559355310543,36.612555111951
"Central California",44,2023-10-29,2023-11-04,772205,17013,4432134,17422.9,383.9,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",45,2023-11-05,2023-11-11,793503,18143,4432134,17903.4,409.4,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",46,2023-11-12,2023-11-18,800840,18913,4432134,18068.9,426.7,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",47,2023-11-19,2023-11-25,801839,19505,4432134,18091.5,440.1,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",48,2023-11-26,2023-12-02,803185,19748,4432134,18121.9,445.6,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",49,2023-12-03,2023-12-09,803185,19820,4432134,18121.9,447.2,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",50,2023-12-10,2023-12-16,804517,19854,4432134,18151.9,448,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",51,2023-12-17,2023-12-23,804517,19859,4432134,18151.9,448.1,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Central California",52,2023-12-24,2023-12-30,804517,19897,4432134,18151.9,448.9,4,"645K - 859K",5,"15K - 18K+",3,"17K - 25K",5,"359 - 448+",-119.559355310543,36.612555111951
"Greater Sierra Sacramento",22,2023-05-28,2023-06-03,1433,0,2973210,48.2,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",23,2023-06-04,2023-06-10,2922,0,2973210,98.3,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",24,2023-06-11,2023-06-17,4182,49,2973210,140.7,1.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",25,2023-06-18,2023-06-24,7805,86,2973210,262.5,2.9,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",26,2023-06-25,2023-07-01,13903,130,2973210,467.6,4.4,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",27,2023-07-02,2023-07-08,21221,215,2973210,713.7,7.2,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",28,2023-07-09,2023-07-15,30488,358,2973210,1025.4,12,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",29,2023-07-16,2023-07-22,37718,563,2973210,1268.6,18.9,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",30,2023-07-23,2023-07-29,45508,821,2973210,1530.6,27.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",31,2023-07-30,2023-08-05,59275,1024,2973210,1993.6,34.4,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",32,2023-08-06,2023-08-12,72824,1246,2973210,2449.3,41.9,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",33,2023-08-13,2023-08-19,90071,1627,2973210,3029.4,54.7,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",34,2023-08-20,2023-08-26,115885,1996,2973210,3897.6,67.1,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",35,2023-08-27,2023-09-02,155294,2458,2973210,5223.1,82.7,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",36,2023-09-03,2023-09-09,193755,3181,2973210,6516.7,107,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",2,"89 - 179",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",37,2023-09-10,2023-09-16,229332,4265,2973210,7713.3,143.4,2,"215K - 430K",3,"7K - 11K",1,"0 - 8K",2,"89 - 179",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",38,2023-09-17,2023-09-23,268939,5328,2973210,9045.4,179.2,2,"215K - 430K",3,"7K - 11K",1,"0 - 8K",2,"89 - 179",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",39,2023-09-24,2023-09-30,301698,6387,2973210,10147.2,214.8,2,"215K - 430K",3,"7K - 11K",1,"0 - 8K",3,"179 - 269",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",40,2023-10-01,2023-10-07,334227,7431,2973210,11241.3,249.9,2,"215K - 430K",4,"11K - 15K",1,"0 - 8K",3,"179 - 269",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",41,2023-10-08,2023-10-14,366161,8362,2973210,12315.3,281.2,2,"215K - 430K",4,"11K - 15K",2,"8K - 17K",4,"269 - 359",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",42,2023-10-15,2023-10-21,398790,9345,2973210,13412.8,314.3,2,"215K - 430K",4,"11K - 15K",2,"8K - 17K",4,"269 - 359",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",43,2023-10-22,2023-10-28,424540,10235,2973210,14278.8,344.2,2,"215K - 430K",4,"11K - 15K",2,"8K - 17K",4,"269 - 359",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",44,2023-10-29,2023-11-04,441748,11147,2973210,14857.6,374.9,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",45,2023-11-05,2023-11-11,454087,11880,2973210,15272.6,399.6,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",46,2023-11-12,2023-11-18,458317,12441,2973210,15414.9,418.4,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",47,2023-11-19,2023-11-25,458856,12848,2973210,15433,432.1,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",48,2023-11-26,2023-12-02,459624,13033,2973210,15458.8,438.3,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",49,2023-12-03,2023-12-09,459624,13088,2973210,15458.8,440.2,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",50,2023-12-10,2023-12-16,460390,13115,2973210,15484.6,441.1,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",51,2023-12-17,2023-12-23,460390,13119,2973210,15484.6,441.2,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Greater Sierra Sacramento",52,2023-12-24,2023-12-30,460390,13134,2973210,15484.6,441.7,3,"430K - 645K",5,"15K - 18K+",2,"8K - 17K",5,"359 - 448+",-121.057229867187,39.2103615378782
"Los Angeles",22,2023-05-28,2023-06-03,2650,0,9825708,27,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",23,2023-06-04,2023-06-10,5244,0,9825708,53.4,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",24,2023-06-11,2023-06-17,7531,64,9825708,76.6,0.7,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",25,2023-06-18,2023-06-24,14138,150,9825708,143.9,1.5,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",26,2023-06-25,2023-07-01,25076,227,9825708,255.2,2.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",27,2023-07-02,2023-07-08,38214,401,9825708,388.9,4.1,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",28,2023-07-09,2023-07-15,55392,670,9825708,563.7,6.8,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",29,2023-07-16,2023-07-22,68679,1081,9825708,699,11,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",30,2023-07-23,2023-07-29,83201,1530,9825708,846.8,15.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",31,2023-07-30,2023-08-05,108109,1898,9825708,1100.3,19.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",32,2023-08-06,2023-08-12,133332,2309,9825708,1357,23.5,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",33,2023-08-13,2023-08-19,165186,2981,9825708,1681.2,30.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",34,2023-08-20,2023-08-26,212928,3686,9825708,2167,37.5,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",35,2023-08-27,2023-09-02,286644,4501,9825708,2917.3,45.8,2,"215K - 430K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",36,2023-09-03,2023-09-09,359273,5753,9825708,3656.5,58.6,2,"215K - 430K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",37,2023-09-10,2023-09-16,426643,7658,9825708,4342.1,77.9,2,"215K - 430K",2,"4K - 7K",1,"0 - 8K",1,"0 - 89",-118.224854223579,34.3208083574764
"Los Angeles",38,2023-09-17,2023-09-23,503887,9709,9825708,5128.3,98.8,3,"430K - 645K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-118.224854223579,34.3208083574764
"Los Angeles",39,2023-09-24,2023-09-30,567826,11664,9825708,5779,118.7,3,"430K - 645K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-118.224854223579,34.3208083574764
"Los Angeles",40,2023-10-01,2023-10-07,632280,13755,9825708,6435,140,3,"430K - 645K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-118.224854223579,34.3208083574764
"Los Angeles",41,2023-10-08,2023-10-14,695390,15578,9825708,7077.3,158.5,4,"645K - 859K",2,"4K - 7K",2,"8K - 17K",2,"89 - 179",-118.224854223579,34.3208083574764
"Los Angeles",42,2023-10-15,2023-10-21,759999,17468,9825708,7734.8,177.8,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",2,"89 - 179",-118.224854223579,34.3208083574764
"Los Angeles",43,2023-10-22,2023-10-28,812329,19262,9825708,8267.4,196,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",44,2023-10-29,2023-11-04,847647,21099,9825708,8626.8,214.7,4,"645K - 859K",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",45,2023-11-05,2023-11-11,873096,22615,9825708,8885.8,230.2,5,"859K - 1M",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",46,2023-11-12,2023-11-18,881868,23677,9825708,8975.1,241,5,"859K - 1M",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",47,2023-11-19,2023-11-25,882971,24470,9825708,8986.3,249,5,"859K - 1M",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",48,2023-11-26,2023-12-02,884531,24868,9825708,9002.2,253.1,5,"859K - 1M",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",49,2023-12-03,2023-12-09,884531,24988,9825708,9002.2,254.3,5,"859K - 1M",3,"7K - 11K",3,"17K - 25K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",50,2023-12-10,2023-12-16,886156,25056,9825708,9018.7,255,5,"859K - 1M",3,"7K - 11K",4,"25K - 33K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",51,2023-12-17,2023-12-23,886156,25065,9825708,9018.7,255.1,5,"859K - 1M",3,"7K - 11K",4,"25K - 33K",3,"179 - 269",-118.224854223579,34.3208083574764
"Los Angeles",52,2023-12-24,2023-12-30,886156,25109,9825708,9018.7,255.5,5,"859K - 1M",3,"7K - 11K",4,"25K - 33K",3,"179 - 269",-118.224854223579,34.3208083574764
"Rural North",22,2023-05-28,2023-06-03,184,0,683715,26.9,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",23,2023-06-04,2023-06-10,414,0,683715,60.6,0,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",24,2023-06-11,2023-06-17,597,6,683715,87.3,0.9,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",25,2023-06-18,2023-06-24,1148,15,683715,167.9,2.2,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",26,2023-06-25,2023-07-01,2059,23,683715,301.1,3.4,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",27,2023-07-02,2023-07-08,3207,43,683715,469.1,6.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",28,2023-07-09,2023-07-15,4606,67,683715,673.7,9.8,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",29,2023-07-16,2023-07-22,5705,107,683715,834.4,15.6,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",30,2023-07-23,2023-07-29,6931,159,683715,1013.7,23.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",31,2023-07-30,2023-08-05,9033,212,683715,1321.2,31,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",32,2023-08-06,2023-08-12,11141,254,683715,1629.5,37.1,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",33,2023-08-13,2023-08-19,13719,327,683715,2006.5,47.8,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",34,2023-08-20,2023-08-26,17685,412,683715,2586.6,60.3,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",35,2023-08-27,2023-09-02,23903,493,683715,3496,72.1,1,"184 - 215K",1,"26 - 4K",1,"0 - 8K",1,"0 - 89",-122.307595115944,40.7242178632109
"Rural North",36,2023-09-03,2023-09-09,29885,620,683715,4371,90.7,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",2,"89 - 179",-122.307595115944,40.7242178632109
"Rural North",37,2023-09-10,2023-09-16,35526,797,683715,5196,116.6,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",2,"89 - 179",-122.307595115944,40.7242178632109
"Rural North",38,2023-09-17,2023-09-23,41798,987,683715,6113.4,144.4,1,"184 - 215K",2,"4K - 7K",1,"0 - 8K",2,"89 - 179",-122.307595115944,40.7242178632109
