"health_officer_region","county","mmwr_week","start_date","end_date","cumulative_infected","cumulative_severe","total_cnty_pop","inf_rate_100k","sev_rate_100k","case_breaks_bins","case_breaks","inf_rate_breaks_bins","inf_rate_breaks","sev_case_breaks_bins","sev_case_breaks","sev_rate_breaks_bins","sev_rate_breaks"
"Bay Area","Contra Costa",26,2023-06-25,2023-07-01,2846,26,1146536,248.2,2.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",27,2023-07-02,2023-07-08,4364,49,1146536,380.6,4.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",28,2023-07-09,2023-07-15,6389,84,1146536,557.2,7.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",29,2023-07-16,2023-07-22,7935,131,1146536,692.1,11.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",30,2023-07-23,2023-07-29,9597,181,1146536,837,15.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",31,2023-07-30,2023-08-05,12549,225,1146536,1094.5,19.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",32,2023-08-06,2023-08-12,15490,276,1146536,1351,24.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",33,2023-08-13,2023-08-19,19316,366,1146536,1684.7,31.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",34,2023-08-20,2023-08-26,24847,458,1146536,2167.1,39.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",35,2023-08-27,2023-09-02,33472,560,1146536,2919.4,48.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",36,2023-09-03,2023-09-09,41909,698,1146536,3655.3,60.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",37,2023-09-10,2023-09-16,49890,955,1146536,4351.4,83.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",38,2023-09-17,2023-09-23,58822,1219,1146536,5130.4,106.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",39,2023-09-24,2023-09-30,66210,1485,1146536,5774.8,129.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",40,2023-10-01,2023-10-07,73600,1773,1146536,6419.3,154.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",41,2023-10-08,2023-10-14,80938,2021,1146536,7059.4,176.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",42,2023-10-15,2023-10-21,88560,2243,1146536,7724.1,195.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",43,2023-10-22,2023-10-28,94636,2466,1146536,8254.1,215.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Contra Costa",44,2023-10-29,2023-11-04,98650,2716,1146536,8604.2,236.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",45,2023-11-05,2023-11-11,101523,2882,1146536,8854.8,251.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",46,2023-11-12,2023-11-18,102542,3012,1146536,8943.6,262.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",47,2023-11-19,2023-11-25,102671,3127,1146536,8954.9,272.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",48,2023-11-26,2023-12-02,102867,3168,1146536,8972,276.3,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",49,2023-12-03,2023-12-09,102867,3185,1146536,8972,277.8,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",50,2023-12-10,2023-12-16,103042,3189,1146536,8987.2,278.1,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",51,2023-12-17,2023-12-23,103042,3190,1146536,8987.2,278.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Contra Costa",52,2023-12-24,2023-12-30,103042,3195,1146536,8987.2,278.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",22,2023-05-28,2023-06-03,71,0,254744,27.9,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",23,2023-06-04,2023-06-10,134,0,254744,52.6,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",24,2023-06-11,2023-06-17,200,1,254744,78.5,0.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",25,2023-06-18,2023-06-24,371,3,254744,145.6,1.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",26,2023-06-25,2023-07-01,672,5,254744,263.8,2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",27,2023-07-02,2023-07-08,1043,10,254744,409.4,3.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",28,2023-07-09,2023-07-15,1522,21,254744,597.5,8.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",29,2023-07-16,2023-07-22,1890,37,254744,741.9,14.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",30,2023-07-23,2023-07-29,2312,45,254744,907.6,17.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",31,2023-07-30,2023-08-05,2982,59,254744,1170.6,23.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",32,2023-08-06,2023-08-12,3649,73,254744,1432.4,28.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",33,2023-08-13,2023-08-19,4548,97,254744,1785.3,38.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",34,2023-08-20,2023-08-26,5931,120,254744,2328.2,47.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",35,2023-08-27,2023-09-02,8045,141,254744,3158.1,55.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",36,2023-09-03,2023-09-09,10006,184,254744,3927.9,72.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",37,2023-09-10,2023-09-16,11893,264,254744,4668.6,103.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",38,2023-09-17,2023-09-23,14026,340,254744,5505.9,133.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",39,2023-09-24,2023-09-30,15729,417,254744,6174.4,163.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",40,2023-10-01,2023-10-07,17436,489,254744,6844.5,192,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Marin",41,2023-10-08,2023-10-14,19142,577,254744,7514.2,226.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",42,2023-10-15,2023-10-21,20948,639,254744,8223.2,250.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",43,2023-10-22,2023-10-28,22379,720,254744,8784.9,282.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",44,2023-10-29,2023-11-04,23290,786,254744,9142.5,308.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",45,2023-11-05,2023-11-11,23972,838,254744,9410.2,329,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",46,2023-11-12,2023-11-18,24211,880,254744,9504.1,345.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",47,2023-11-19,2023-11-25,24237,905,254744,9514.3,355.3,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",48,2023-11-26,2023-12-02,24275,920,254744,9529.2,361.1,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",49,2023-12-03,2023-12-09,24275,922,254744,9529.2,361.9,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",50,2023-12-10,2023-12-16,24318,924,254744,9546.1,362.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",51,2023-12-17,2023-12-23,24318,924,254744,9546.1,362.7,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Marin",52,2023-12-24,2023-12-30,24318,926,254744,9546.1,363.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",22,2023-05-28,2023-06-03,124,0,436476,28.4,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",23,2023-06-04,2023-06-10,258,0,436476,59.1,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",24,2023-06-11,2023-06-17,356,3,436476,81.6,0.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",25,2023-06-18,2023-06-24,675,7,436476,154.6,1.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",26,2023-06-25,2023-07-01,1247,7,436476,285.7,1.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",27,2023-07-02,2023-07-08,1891,14,436476,433.2,3.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",28,2023-07-09,2023-07-15,2731,25,436476,625.7,5.7,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",29,2023-07-16,2023-07-22,3379,45,436476,774.2,10.3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",30,2023-07-23,2023-07-29,4113,69,436476,942.3,15.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",31,2023-07-30,2023-08-05,5292,84,436476,1212.4,19.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",32,2023-08-06,2023-08-12,6540,102,436476,1498.4,23.4,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",33,2023-08-13,2023-08-19,8157,142,436476,1868.8,32.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",34,2023-08-20,2023-08-26,10642,178,436476,2438.2,40.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",35,2023-08-27,2023-09-02,14279,213,436476,3271.4,48.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",36,2023-09-03,2023-09-09,17955,286,436476,4113.6,65.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",37,2023-09-10,2023-09-16,21302,375,436476,4880.5,85.9,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",38,2023-09-17,2023-09-23,25243,500,436476,5783.4,114.6,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",39,2023-09-24,2023-09-30,28412,606,436476,6509.4,138.8,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",40,2023-10-01,2023-10-07,31536,721,436476,7225.1,165.2,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",41,2023-10-08,2023-10-14,34723,816,436476,7955.3,187,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",42,2023-10-15,2023-10-21,37838,917,436476,8669,210.1,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Monterey",43,2023-10-22,2023-10-28,40487,1006,436476,9275.9,230.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",44,2023-10-29,2023-11-04,42244,1098,436476,9678.4,251.6,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",45,2023-11-05,2023-11-11,43528,1171,436476,9972.6,268.3,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",46,2023-11-12,2023-11-18,43954,1236,436476,10070.2,283.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",47,2023-11-19,2023-11-25,44004,1281,436476,10081.7,293.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",48,2023-11-26,2023-12-02,44071,1297,436476,10097,297.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",49,2023-12-03,2023-12-09,44071,1303,436476,10097,298.5,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",50,2023-12-10,2023-12-16,44136,1306,436476,10111.9,299.2,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",51,2023-12-17,2023-12-23,44136,1307,436476,10111.9,299.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Monterey",52,2023-12-24,2023-12-30,44136,1307,436476,10111.9,299.4,"0 - 126,593","0 - 127K","8,753 - 17,506","9K - 18K","0 - 5,021","0 - 5K","221 - 442","221 - 442"
"Bay Area","Napa",22,2023-05-28,2023-06-03,29,0,134484,21.6,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Napa",23,2023-06-04,2023-06-10,74,0,134484,55,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Napa",24,2023-06-11,2023-06-17,111,0,134484,82.5,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Napa",25,2023-06-18,2023-06-24,209,0,134484,155.4,0,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Napa",26,2023-06-25,2023-07-01,353,2,134484,262.5,1.5,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
"Bay Area","Napa",27,2023-07-02,2023-07-08,533,4,134484,396.3,3,"0 - 126,593","0 - 127K","0 - 8,753","0 - 9K","0 - 5,021","0 - 5K","0 - 221","0 - 221"
